country,iso_code,year,population,gdp,co2,co2_per_capita,co2_per_gdp,cement_co2,coal_co2,gas_co2,oil_co2,co2_growth_prct,co2_per_unit_energy,eps_score,pressure_level
Burkina Faso,BFA,2023,23025778.0,,6.187,0.269,,1.178,,,5.009,-2.939,,,
Burundi,BDI,2023,13689455.0,,0.71,0.052,,0.003,0.054,,0.653,0.341,,,
Cambodia,KHM,2023,17423881.0,,20.178,1.158,,5.887,4.44,,9.852,2.906,,,
Cameroon,CMR,2023,28372688.0,,9.941,0.35,,1.744,,1.141,5.803,-1.04,,,
Canada,CAN,2023,39299099.0,,549.299,13.977,,6.752,36.769,237.269,248.853,-0.238,0.142,3.4,Medium
Cape Verde,CPV,2023,522335.0,,0.535,1.024,,0.0,,,0.535,-3.605,,,
Central African Republic,CAF,2023,5152417.0,,0.281,0.055,,0.0,,,0.281,3.952,,,
Chad,TCD,2023,19319073.0,,3.079,0.159,,0.198,,,2.484,2.486,,,
Chile,CHL,2023,19658834.0,,77.288,3.931,,0.976,14.493,12.423,49.39,-6.36,0.153,,
China,CHN,2023,1422584937.0,,11902.503,8.367,,718.017,8550.844,814.783,1642.827,4.863,0.251,2.7,Medium
Christmas Island,CXR,2023,,,0.0,,,,,,,,,,
Colombia,COL,2023,52321152.0,,105.239,2.011,,6.046,16.002,22.498,60.09,7.067,0.168,,
Comoros,COM,2023,850390.0,,0.449,0.528,,0.0,,,0.449,-0.485,,,
Congo,COG,2023,6182889.0,,7.674,1.241,,0.31,,1.654,2.569,-5.386,,,
Cook Islands,COK,2023,14243.0,,0.073,5.114,,0.0,,,0.073,2.174,,,
Costa Rica,CRI,2023,5105527.0,,8.279,1.622,,0.378,0.044,,7.857,5.502,,,
Cote d'Ivoire,CIV,2023,31165651.0,,13.196,0.423,,0.0,,4.228,8.901,-3.285,,,
Croatia,HRV,2023,3896024.0,,17.524,4.498,,1.203,1.336,4.744,9.77,-0.478,0.173,,
Cuba,CUB,2023,11019931.0,,23.097,2.096,,0.368,0.015,1.926,20.675,5.553,,,
Curacao,CUW,2023,185437.0,,2.023,10.912,,0.0,,,2.023,4.322,,,
Cyprus,CYP,2023,1344979.0,,7.174,5.334,,0.88,0.112,0.0,6.162,-0.324,0.224,,
Czechia,CZE,2023,10809722.0,,85.624,7.921,,1.847,44.853,14.328,22.957,-9.971,0.202,,
Democratic Republic of Congo,COD,2023,105789733.0,,4.616,0.044,,0.604,0.071,0.0,3.728,-0.316,,,
Denmark,DNK,2023,5948134.0,,27.265,4.584,,1.073,2.766,3.602,19.319,-4.104,0.139,,
Djibouti,DJI,2023,1152951.0,,0.493,0.427,,0.139,,,0.353,-0.348,,,
Dominica,DMA,2023,66531.0,,0.163,2.451,,0.0,,,0.163,4.322,,,
Dominican Republic,DOM,2023,11331268.0,,32.02,2.826,,2.52,7.376,4.202,17.922,5.221,,,
East Timor,TLS,2023,1384292.0,,0.632,0.457,,0.0,,0.0,0.602,-2.647,,,
