ISO,Country,Data source,Sector,Gas,Unit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
PRK,North Korea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,86.8,84.07,95.52,99.85,92.93,99.62,61.09,57.58,66.93,62.77,73.64,74.89,91.34,93.1,94.69,86.53,99.42,97.21,93.91,91.37,89.65,93.31,94.76,91.19,86.87,93.89,97.47,109.41,118.3,129.46,139.09,153.63,161.26
BLR,Belarus,Climate Watch,Total including LUCF,All GHG,MtCO₂e,84.22,86.59,86.48,88.92,90.69,87.8,86.29,92.28,96.73,97.49,96.9,95.26,89.49,84.85,87.78,83.71,84.99,81.8,80.99,77.3,76.36,76.82,70.37,72.92,74.86,76.67,76.15,75.33,83.02,96.14,108.91,123.23,128.44
MNG,Mongolia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,81.82,78.62,76.07,79.07,75.87,74.0,71.17,68.96,67.58,65.03,62.51,59.14,56.35,59.13,57.99,57.79,55.01,52.07,49.31,49.47,49.71,51.47,54.78,53.59,53.47,53.82,51.62,52.2,51.26,53.07,54.28,56.51,54.28
KEN,Kenya,Climate Watch,Total including LUCF,All GHG,MtCO₂e,80.54,78.41,81.73,74.03,66.11,64.56,66.38,76.89,75.36,72.47,71.85,72.78,78.42,77.08,76.54,75.38,58.81,58.26,57.89,55.23,54.07,53.11,34.41,35.34,33.37,32.06,32.23,32.78,32.43,32.03,32.2,32.16,33.37
KHM,Cambodia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,77.37,80.45,79.06,75.78,72.56,72.07,69.8,103.55,101.52,100.54,100.07,102.54,37.52,38.5,37.16,37.41,36.36,32.5,34.04,33.02,30.51,27.37,27.37,29.02,29.41,25.87,24.51,28.46,24.93,26.1,25.29,24.76,25.06
ROU,Romania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,76.86,81.43,75.74,82.42,84.05,82.8,79.71,-180.76,-183.01,-182.35,-173.04,-170.67,107.13,110.15,126.15,128.27,131.03,127.61,128.18,130.33,125.47,128.09,126.59,122.66,138.54,154.86,166.88,163.35,157.8,162.25,173.25,193.55,233.16
GRC,Greece,Climate Watch,Total including LUCF,All GHG,MtCO₂e,72.07,72.23,70.49,79.93,85.41,88.14,88.53,89.81,91.55,94.63,102.3,106.75,107.34,114.21,120.8,125.28,121.3,122.84,120.81,120.75,117.54,117.26,116.89,111.09,110.19,105.99,104.91,103.83,99.4,96.78,96.42,94.35,94.28
SGP,Singapore,Climate Watch,Total including LUCF,All GHG,MtCO₂e,69.59,67.38,64.25,64.95,64.23,65.77,62.69,62.33,60.61,59.44,58.54,58.94,55.9,52.14,51.58,51.28,50.0,49.57,52.29,50.83,53.98,54.74,54.82,49.97,48.75,49.41,49.32,47.93,46.62,43.09,36.63,34.0,30.86
NZL,New Zealand,Climate Watch,Total including LUCF,All GHG,MtCO₂e,67.54,70.43,70.24,73.02,71.88,72.91,71.28,66.56,67.19,66.58,67.06,64.47,58.86,58.73,61.63,61.6,62.8,62.65,61.25,61.81,59.29,58.08,52.3,52.1,49.83,51.5,49.09,48.7,47.39,45.88,46.68,45.87,46.22
IRL,Ireland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,67.44,68.96,66.39,68.53,70.58,72.89,73.74,71.38,69.55,69.24,70.1,68.68,72.75,74.0,79.39,80.49,82.02,81.43,80.17,80.99,80.12,81.54,78.98,75.78,74.1,70.81,69.45,68.12,67.34,65.92,65.27,65.11,64.59
SSD,South Sudan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,63.82,66.86,70.79,61.38,70.74,64.13,66.48,62.81,62.9,61.15,61.03,76.15,79.72,80.42,78.47,77.49,73.37,74.45,71.03,68.4,65.68,61.69,67.48,65.56,62.07,56.44,51.11,46.27,45.48,43.51,41.63,39.24,38.38
AUT,Austria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,63.27,67.22,64.2,69.74,68.66,71.77,69.85,69.55,68.27,72.03,71.42,74.86,77.58,71.79,78.98,79.23,82.18,84.39,84.34,83.45,78.52,77.02,65.4,65.17,66.99,67.02,67.99,64.27,61.79,61.72,61.79,67.61,63.33
